Station,SID,Network,Distance_mi,Covered_years,Tmax_%,Tmin_%,Tmean_%,Precip_%,Keep
GUTHRIE 3.0 N,US1OKLG0008 6,GHCN,0.3,2008-2012,0,0,0,5,DROP
GUTHRIE 2.9 N,US1OKLG0011 6,GHCN,0.4,2012-2017,0,0,0,16,DROP
GUTHRIE 3.7 NNW,US1OKLG0006 6,GHCN,1.4,2007-2019,0,0,0,40,DROP
GUTHRIE MUNICIPAL AP,343818 2,COOP,2.0,1998-2020,75,75,75,75,DROP
GUTHRIE 4WSW MESONET,343820 2,COOP,3.7,2000-2020,40,40,40,40,DROP
GUTHRIE 4.3 ENE,US1OKLG0020 6,GHCN,4.0,2019-2020,0,0,0,6,DROP
GUTHRIE 1.9 S,US1OKLG0002 6,GHCN,4.6,2006-2017,0,0,0,33,DROP
GUTHRIE 5S,343821 2,COOP,4.7,1991-2015,78,77,77,80,DROP
GUTHRIE SCS,343830 2,COOP,5.5,  none ,0,0,0,0,DROP
GUTHRIE 5.8 W,US1OKLG0021 6,GHCN,6.5,2020-2020,0,0,0,3,DROP
GUTHRIE 9.4 NNW,US1OKLG0015 6,GHCN,6.8,2015-2020,0,0,0,3,DROP
GUTHRIE 4.9 SSE,US1OKLG0004 6,GHCN,7.5,2007-2013,0,0,0,20,DROP
GUTHRIE 6.7 SE,US1OKLG0016 6,GHCN,9.0,2015-2016,0,0,0,2,DROP
EDMOND 5.8 NNE,US1OKLG0010 6,GHCN,9.0,2011-2020,0,0,0,29,DROP
EDMOND 6.2 NNW,US1OKLG0014 6,GHCN,9.1,2014-2020,0,0,0,22,DROP
EDMOND 4.9 NNW,US1OKLG0005 6,GHCN,9.6,2007-2009,0,0,0,3,DROP
EDMOND 4.3 NNE,US1OKLG0003 6,GHCN,10.7,2007-2016,0,0,0,24,DROP
EDMOND 6.4 NW,US1OKLG0009 6,GHCN,11.0,2010-2020,0,0,0,11,DROP
ARCADIA 4.6 N,US1OKLG0022 6,GHCN,11.6,2019-2019,0,0,0,0,DROP
EDMOND 5.7 NW,US1OKOK0087 6,GHCN,11.7,2018-2020,0,0,0,8,DROP
MULHALL 1 SE,346110 2,COOP,11.9,2000-2020,0,0,0,66,DROP
EDMOND 2.6 WNW,US1OKOK0069 6,GHCN,13.0,2017-2020,0,0,0,5,DROP
CIMARRON CITY 4.0 WSW,US1OKLG0007 6,GHCN,13.6,2008-2012,0,0,0,10,DROP
EDMOND 8.0 WNW,US1OKOK0025 6,GHCN,13.8,2008-2016,0,0,0,22,DROP
MULHALL 5.4 W,US1OKLG0018 6,GHCN,14.2,  none ,0,0,0,0,DROP
