Station,SID,Network,Distance_mi,Covered_years,Tmax_%,Tmin_%,Tmean_%,Precip_%,Keep
IDABEL 1.7 E,US1OKMN0003 6,GHCN,2.1,2012-2015,0,0,0,10,DROP
IDABEL 2.1 SE,US1OKMN0004 6,GHCN,2.2,2012-2016,0,0,0,3,DROP
IDABEL 2.3 SE,US1OKMN0005 6,GHCN,2.3,2011-2020,0,0,0,17,DROP
IDABEL,344451 2,COOP,2.7,1991-2020,88,84,84,89,KEEP
IDABEL 5 NE,344457 2,COOP,5.2,2000-2012,0,0,0,6,DROP
HAWORTH 0.2 NNW,US1OKMN0006 6,GHCN,10.3,2017-2020,0,0,0,3,DROP
BROKEN BOW 1 N,341162 2,COOP,11.9,1991-2020,39,39,39,98,DROP
BROKEN BOW OKLAHOMA,USR0000OBRB 6,GHCN,11.9,1999-2020,71,71,71,0,DROP
GOODWATER,343623 2,COOP,15.0,  none ,0,0,0,0,DROP
GLOVER 2 N,343575 2,COOP,15.0,2000-2011,0,0,0,6,DROP
DEKALB 12 NNW,412351 2,COOP,16.0,2000-2011,0,0,0,6,DROP
BROKEN BOW 7.4 NE,US1OKMN0009 6,GHCN,17.8,2019-2020,0,0,0,1,DROP
MANCHESTER,415540 2,COOP,17.9,none,,,,,DROP
BROKEN BOW DAM,341168 2,COOP,18.0,1991-2017,70,70,69,25,DROP
ENGLISH SCS #3,412920 2,COOP,18.2,  none ,0,0,0,0,DROP
HAWORTH 9.0 ENE,US1OKMN0007 6,GHCN,18.3,2017-2020,0,0,0,2,DROP
BEAR MOUNTAIN TOWER,340584 2,COOP,18.4,1991-1998,13,13,12,18,DROP
AVERY 5 NNW,410443 2,COOP,18.6,2000-2020,0,0,0,66,DROP
NEGLEY 4 SSW,416247 2,COOP,19.2,1991-2003,0,0,0,38,DROP
VALLIANT 3 W,349118 2,COOP,19.6,1991-2015,0,0,0,79,DROP
CLARKSVILLE 4.0 N,US1TXRR0005 6,GHCN,20.3,  none ,0,0,0,0,DROP
